id,centre,number,primary,type,country,source,person
,C#44000321,07816 236885,TRUE,mob,GB,OFSTED,
,C#44000322,1274771124,TRUE,lan,GB,OFSTED,
,C#44000323,1274636921,TRUE,lan,GB,OFSTED,
,C#44000324,1274638520,TRUE,lan,GB,OFSTED,
,C#44000325,01274 637425,TRUE,lan,GB,OFSTED,
,C#44000326,1274639377,TRUE,lan,GB,OFSTED,
,C#44000327,01274 773684,TRUE,lan,GB,OFSTED,
,C#44000328,1535653290,TRUE,lan,GB,OFSTED,
,C#44000329,01535 652 020,TRUE,lan,GB,OFSTED,
,C#44000330,01274 407279,TRUE,lan,GB,OFSTED,
,C#44000331,1535657714,TRUE,lan,GB,OFSTED,
,C#44000332,1535210002,TRUE,lan,GB,OFSTED,
,C#44000333,7981124093,TRUE,mob,GB,OFSTED,
,C#44000334,1535210422,TRUE,lan,GB,OFSTED,
,C#44000335,1535210167,TRUE,lan,GB,OFSTED,
,C#44000336,01535 657 800,TRUE,lan,GB,OFSTED,
,C#44000337,01535 657800,TRUE,lan,GB,OFSTED,
,C#44000338,01535 294092,TRUE,lan,GB,OFSTED,
,C#44000339,1535635700,TRUE,lan,GB,OFSTED,
,C#44000340,7523009392,TRUE,mob,GB,OFSTED,
,C#44000341,01535 634 863,TRUE,lan,GB,OFSTED,
,C#44000342,1535634217,TRUE,lan,GB,OFSTED,
,C#44000343,7557331688,TRUE,mob,GB,OFSTED,
,C#44000344,1535632145,TRUE,lan,GB,OFSTED,
,C#44000345,7850969068,TRUE,mob,GB,OFSTED,
,C#44000346,7971723375,TRUE,mob,GB,OFSTED,
,C#44000347,07814 105 987,TRUE,mob,GB,OFSTED,
,C#44030870,2089865249,TRUE,lan,GB,OFSTED,
,C#44000349,1535603868,TRUE,lan,GB,OFSTED,
,C#44000350,1535604183,TRUE,lan,GB,OFSTED,
,C#44000351,01535 66 55 00,TRUE,lan,GB,OFSTED,
,C#44000352,7946469415,TRUE,mob,GB,OFSTED,
,C#44000353,01535 670569,TRUE,lan,GB,OFSTED,
,C#44000354,01535 661963,TRUE,lan,GB,OFSTED,
,C#44000355,1535604656,TRUE,lan,GB,OFSTED,
,C#44000356,01535 957528,TRUE,lan,GB,OFSTED,
,C#44000357,1535210110,TRUE,lan,GB,OFSTED,
,C#44000358,1535210600,TRUE,lan,GB,OFSTED,
,C#44000359,01535 611115,TRUE,lan,GB,OFSTED,
,C#44000360,1535610212,TRUE,lan,GB,OFSTED,
,C#44000361,7445357949,TRUE,mob,GB,OFSTED,
,C#44000362,1535605272,TRUE,lan,GB,OFSTED,
,C#44000363,1535603832,TRUE,lan,GB,OFSTED,
,C#44000364,1535603986,TRUE,lan,GB,OFSTED,
,C#44000365,01535 603986,TRUE,lan,GB,OFSTED,
,C#44000366,01535 957063,TRUE,lan,GB,OFSTED,
,C#44000367,1535610222,TRUE,lan,GB,OFSTED,
,C#44000368,1535610222,TRUE,lan,GB,OFSTED,
,C#44000369,01535 635 068,TRUE,lan,GB,OFSTED,
,C#44000370,1535642270,TRUE,lan,GB,OFSTED,
,C#44000371,01535 610891,TRUE,lan,GB,OFSTED,
,C#44000372,07834 460 534,TRUE,mob,GB,OFSTED,
,C#44000373,1535607038,TRUE,lan,GB,OFSTED,
,C#44000374,1535210028,TRUE,lan,GB,OFSTED,
,C#44000375,01535 665648,TRUE,lan,GB,OFSTED,
,C#44000376,1535607149,TRUE,lan,GB,OFSTED,
,C#44000377,07931 155491,TRUE,mob,GB,OFSTED,
,C#44000378,1535665628,TRUE,lan,GB,OFSTED,
,C#44000766,01202 519455,TRUE,lan,GB,OFSTED,
,C#44000380,07495 592072,TRUE,mob,GB,OFSTED,
,C#44000381,1535642309,TRUE,lan,GB,OFSTED,
,C#44000382,1535642359,TRUE,lan,GB,OFSTED,
,C#44000383,7932434885,TRUE,mob,GB,OFSTED,
,C#44000384,07851 702 283,TRUE,mob,GB,OFSTED,
,C#44000385,15356465216,TRUE,lan,GB,OFSTED,
,C#44000386,1756793075,TRUE,lan,GB,OFSTED,
,C#44000387,01756 228319,TRUE,lan,GB,OFSTED,
